module_id,domain,name,mode,produces_signal,seed_event_candidate,drive_revision,affect_confidence,affect_uncertainty,invoked_by_intelligence,consumes_intelligence,requires_signal_gate,subscription_ui_may_change_science,boundary_note
E01,FOUNDATION,Source Ingestion & Raw Artifact Engine,EVIDENCE_PROVIDER,True,False,False,True,True,False,False,False,False,원문·수집 상태를 Evidence로 제공. HTTP/parse 성공 자체가 Event가 아님.
E02,FOUNDATION,Canonical Object Identity Engine,CONTEXT_ONLY,False,False,False,False,False,False,False,False,False,canonical identity/alias context. 이름·ID 자체로 사건/신뢰도 판단 금지.
E03,FOUNDATION,Evidence & Provenance Engine,EVIDENCE_PROVIDER,True,False,False,True,True,False,False,False,False,provenance/source grade가 E39/E43의 근거가 되지만 독립 Event 생성 금지.
E04,FOUNDATION,Universal Space Time Engine,CONTEXT_ONLY,False,False,False,False,False,False,False,False,False,시간축/epoch/replay context만 제공. 과학 중요도 판단 금지.
E05,FOUNDATION,Coordinate & Reference Frame Engine,CONTEXT_ONLY,False,False,False,False,True,False,False,False,False,좌표/프레임 변환 context. 변환 품질은 uncertainty 입력이 될 수 있으나 사건 생성 금지.
E06,FOUNDATION,Digital State / Snapshot / Version Engine,CONTEXT_ONLY,False,False,True,True,True,False,False,False,False,snapshot/version lineage가 Revision 비교의 기준. 자체로 Event를 생성하지 않음.
E07,FOUNDATION,Space Knowledge Graph & Archive Engine,CONTEXT_ONLY,False,False,False,True,False,False,False,False,False,Mission/Object/Event 관계 context. 관계 provenance는 설명 근거가 될 수 있음.
E08,SPACE,Solar System Ephemeris Engine,DIRECT_SIGNAL,True,False,True,True,True,False,False,True,False,천체 상태/ephemeris 변화는 E09 등의 사건 계산에 직접 입력. 단순 위치 갱신은 Signal Gate 통과 전 Event 아님.
E09,SPACE,Celestial Event Engine,DIRECT_SIGNAL,True,True,True,True,True,False,False,True,False,eclipse/opposition/close approach 등 의미 있는 천체 사건 후보를 생성 가능.
E10,SPACE,Solar / Space Weather Context Engine,DIRECT_SIGNAL,True,True,True,True,True,False,False,True,False,태양/우주기상 context 변화가 Event/Orbit context Revision을 구동 가능.
E11,SPACE,NEO / Small Body Tracking Engine,DIRECT_SIGNAL,True,True,True,True,True,False,False,True,False,NEO/small-body tracking의 close-approach/trajectory 변화가 Event 후보가 될 수 있음.
E12,SPACE,Deep-Space Mission Tracking Engine,DIRECT_SIGNAL,True,True,True,True,True,False,False,True,False,deep-space mission tracking 상태/encounter 변화가 Mission Event Revision을 구동.
E13,CONTROL,Mission Registry Engine,CONTEXT_ONLY,False,False,False,True,False,False,False,False,False,Mission identity/metadata registry. 일정/상태 사건은 E14/E15가 생성.
E14,CONTROL,Launch Schedule / Window Engine,DIRECT_SIGNAL,True,True,True,True,False,False,False,True,False,공식 launch window/schedule 변경이 Mission Event Revision을 생성.
E15,CONTROL,Launch State Machine & Countdown Engine,DIRECT_SIGNAL,True,True,True,True,False,False,False,True,False,COUNTDOWN/LIFTOFF/ASCENT 등 mission state transition이 Event를 생성/갱신.
