id,name,category,priority,maturity,original_maturity,phase,module,module_evidence,intelligence_layer,v4_action,id_policy,greenfield_status,canonical_v5_3_action,implementation_gate
ANA-001,Privacy-Safe Product Telemetry Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 4,analytics/telemetry.js,prototype/js/earthus2/v03/analytics/telemetry.js,OPS_GOVERNANCE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
ANA-002,Intelligence Funnel Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 4,analytics/funnel.js,prototype/js/earthus2/v03/analytics/funnel.js,OPS_GOVERNANCE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
ANA-003,Alert Effectiveness Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 4,analytics/alert-effectiveness.js,prototype/js/earthus2/v03/analytics/alert-effectiveness.js,OPS_GOVERNANCE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
ANA-004,Engine Cost Attribution Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 4,analytics/cost-attribution.js,prototype/js/earthus2/v03/analytics/cost-attribution.js,OPS_GOVERNANCE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
CLD-001,Satellite Product and Tile Broker,Cloud,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,cloud/satellite-product-broker.js,prototype/js/earthus2/v02/cloud/satellite-product-broker.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
CLD-002,Cloud Top Retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-state.js,prototype/js/earthus2/v02/cloud/cloud-state.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
CLD-003,Cloud Base Retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-state.js,prototype/js/earthus2/v02/cloud/cloud-state.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
CLD-004,Multilayer Cloud Detection,Cloud,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-state.js,prototype/js/earthus2/v02/cloud/cloud-state.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
CLD-005,Canonical Cloud State,Cloud,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-state.js,prototype/js/earthus2/v02/cloud/cloud-state.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
CLD-006,0-6h Cloud Nowcast,Cloud,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,weather/nowcast.js,prototype/js/earthus2/v02/weather/nowcast.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
CLD-007,6h-10d Forecast Cloud Volume,Cloud,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-forecast.js,prototype/js/earthus2/v02/cloud/cloud-forecast.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
CLD-008,Cloud Confidence and Uncertainty,Cloud,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-forecast.js,prototype/js/earthus2/v02/cloud/cloud-forecast.js,CONFIDENCE_UNCERTAINTY,REUSE/HARDEN_CONFIDENCE; NUMERIC_CONFIDENCE_REQUIRES_CALIBRATION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
CLD-009,Adaptive Cloud Renderer,Cloud,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-render-policy.js,prototype/js/earthus2/v02/cloud/cloud-render-policy.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,3D_ONLY_FALLBACK: HIGH_3D_VOLUME -> MEDIUM_3D -> LOW_3D_HEIGHT_FIELD -> STATIC_3D -> OFF; NO PHOTO/SATELLITE SHELL FINAL FALLBACK,CLOUD_GROUND_PARALLAX + CTH/VERTICAL_EVIDENCE + RESOURCE_DISPOSAL + DEVICE_QA
CLD-010,Procedural Cloud Detail Synthesizer,Cloud,P2,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 3,cloud/procedural-detail.js,prototype/js/earthus2/v02/cloud/procedural-detail.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,VISUAL_MICRODETAIL_ONLY_INSIDE_VERIFIED_3D_CLOUD_STATE; MUST_NOT_CREATE_COVERAGE/HEIGHT/METEOROLOGY,MAY_CHANGE_COVERAGE=false + TRUTH_CLASS_PRESERVED
DAT-001,Provider Adapter SDK,Data Plane,P1,IMPLEMENTED_FOUNDATION,IMPLEMENTED_FOUNDATION,Wave 1,data/provider-adapter-sdk.js,prototype/js/earthus2/v03/data/provider-adapter-sdk.js,DATA_BACKEND_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_SOURCE_FOUNDATION_THEN_VERIFY_RUNTIME_REAL_DATA_BROWSER_DEVICE,MODULE_EXISTS_NOT_EQUAL_PRODUCTION_DONE
