test_id,module_id,domain,case,automation,gate,status,evidence_path
E01-T01,E01,FOUNDATION,duplicate raw hash dedupe,AUTOMATED,REQUIRED,NOT_RUN,
E01-T02,E01,FOUNDATION,429/backoff policy,AUTOMATED,REQUIRED,NOT_RUN,
E01-T03,E01,FOUNDATION,partial parse quarantine,AUTOMATED,REQUIRED,NOT_RUN,
E01-T04,E01,FOUNDATION,secret redaction,AUTOMATED,REQUIRED,NOT_RUN,
E01-T05,E01,FOUNDATION,source outage stale behavior,AUTOMATED,REQUIRED,NOT_RUN,
E02-T01,E02,FOUNDATION,6+ digit catalog ID,AUTOMATED,REQUIRED,NOT_RUN,
E02-T02,E02,FOUNDATION,same catalog renamed alias,AUTOMATED,REQUIRED,NOT_RUN,
E02-T03,E02,FOUNDATION,COSPAR conflict quarantine,AUTOMATED,REQUIRED,NOT_RUN,
E02-T04,E02,FOUNDATION,unknown origin not inferred,AUTOMATED,REQUIRED,NOT_RUN,
E02-T05,E02,FOUNDATION,mission-created object handover,AUTOMATED,REQUIRED,NOT_RUN,
E03-T01,E03,FOUNDATION,missing source rejects intelligence promotion,AUTOMATED,REQUIRED,NOT_RUN,
E03-T02,E03,FOUNDATION,hash chain reproducibility,AUTOMATED,REQUIRED,NOT_RUN,
E03-T03,E03,FOUNDATION,source-grade separation,AUTOMATED,REQUIRED,NOT_RUN,
E03-T04,E03,FOUNDATION,license policy propagation,AUTOMATED,REQUIRED,NOT_RUN,
E04-T01,E04,FOUNDATION,naive datetime rejection,AUTOMATED,REQUIRED,NOT_RUN,
E04-T02,E04,FOUNDATION,UTC/local roundtrip,AUTOMATED,REQUIRED,NOT_RUN,
E04-T03,E04,FOUNDATION,replay deterministic cursor,AUTOMATED,REQUIRED,NOT_RUN,
E04-T04,E04,FOUNDATION,future model vs archived state separation,AUTOMATED,REQUIRED,NOT_RUN,
E05-T01,E05,FOUNDATION,frame roundtrip tolerance,AUTOMATED,REQUIRED,NOT_RUN,
