no,id,menu,subtitle,category,before,minimum_visual,visual_effect,free_service,paid_service,trust_boundary,priority,gpu_tier,implementation_scope,dependency
1,gk2aAuto,천리안2A 자동,낮 가시광·밤 적외 자동,위성·구름,낮·밤 위성 영상을 평면 텍스처로 교체 표시,태양 경계에 맞춰 가시광과 적외가 자연스럽게 전환되는 3D 구름 지구. 구름 두께와 그림자가 지형 위에 살아난다.,3D Cloud Shell + Day/Night Spectral Blend + Cloud Shadow,"현재 구름, 낮/밤 자동 전환, 최근 기본 루프, 공식 위성 시각","72시간 이상 이력, 지역 고해상도, 구름 높이·층 분리, 관심지역 구름 도달 알림",관측 영상과 재구성된 입체 효과를 구분 표시,P0,H,NOW,고성능 렌더 경로와 모바일 축소 표현 필요
2,gk2aIR,천리안2A 적외,전면 8km + 동아시아 2km,위성·구름,구름 꼭대기 온도를 거짓색 평면으로 표시,차가운 구름 꼭대기가 높은 대류탑으로 솟고 따뜻한 하층운은 낮게 눕는 열적 구름 지형으로 전환한다.,Thermal Cloud Towers + Altitude Relief + Convection Glow,"현재 적외 구름과 온도 범례, 기본 대류 강조","대류 성장 속도, 태풍 눈벽·급발달 구역, 고도 단면과 과거 비교",높이는 관측값 기반 추정이며 실제 3D 관측과 구분,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
3,gk2aNightLow,천리안2A 야간 하층운,밤 8km · 물방울 구름 후보,위성·구름,야간 하층운 후보를 색상 마스크로 표시,"지형을 따라 낮게 깔리는 얇은 구름·안개 담요로 표현해 산악, 도로, 공항의 가시성 위험을 보여준다.",Terrain-Hugging Low Cloud + Soft Fog Volume + Visibility Halo,야간 하층운 후보와 기본 시정 위험,"도로·공항·산행 경로별 시정 영향, 새벽 해소 예상, 관심지역 알림",후보 신호이므로 “관측 확정”이 아닌 확률/추정 표기,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
4,gk2aVIS,천리안2A 한반도 가시광,한반도 0.5km · 낮,위성·구름,고해상도 구름 사진을 한반도 위에 평면 투영,0.5km 영상의 결을 3D 지형과 맞추고 작은 구름 덩어리·그림자·산악 상승 흐름을 정밀하게 재현한다.,Micro Cloud Relief + Terrain Registration + Local Shadow,현재 한반도 고해상도 구름과 기본 확대,"지역 타임랩스, 산악 구름 형성·소멸 분석, 촬영·여행 일정 영향",낮에만 유효하며 관측시각 지연을 명시,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
5,gk2aVISfd,천리안2A 전면 가시광,전면 · 낮,위성·구름,전면 원반 가시광 영상을 그대로 드레이프,아시아·태평양 전면을 하나의 햇빛 받는 구름 원반으로 만들고 낮 영역의 구름결과 바다 반사를 자연스럽게 연결한다.,Full-Disk Cloud Film + Solar Lighting + Ocean Glint,현재 전면 낮 영상과 기본 확대,"다중 위성 경계 제거, 국가 간 구름 이동, 대형 기상계 스토리 재생",야간에는 자동 비활성/적외 전환,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
6,gk2aIRea,천리안2A 동아시아 적외,동아시아 2km · 밤에도,위성·구름,동아시아 적외 영상을 평면 컬러맵으로 표시,태풍·장마·대류 구름의 꼭대기 높이를 3D로 솟게 하고 차가운 핵이 내부에서 빛나는 동아시아 기상 조각으로 만든다.,Regional Cloud Volume + Cold-Core Glow + Storm Band Depth,동아시아 현재 구름과 기본 시간 재생,"태풍 유입대·대류핵 추적, 지역 비교, 강수·바람 결합 분석","높이는 열적 추정, 강수와 별도 데이터 연동",P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
7,gk2aVISea,천리안2A 동아시아 가시광,동아시아 2km · 낮,위성·구름,동아시아 가시광 영상을 평면으로 표시,국가 경계를 넘는 실제 구름의 결을 3D 지형 위에 얹고 산맥·해안과의 상호작용을 그림자로 보여준다.,Regional Cloud Mesh + Terrain Shadow + Coastal Interaction,"현재 낮 구름, 국가 단위 확대","국경 간 이동 애니메이션, 구름 생성·소멸 원인, 지역 일정 영향","가시광은 낮 전용, 과도한 볼륨 생성 금지",P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
8,gk2aWV,천리안2A 수증기,전면 · 상층 흐름,위성·구름,수증기 채널을 보라·파랑색 평면 영상으로 표시,대기 상층의 수증기가 고도별 리본과 통로로 떠서 제트기류·저기압 주변으로 감기는 모습을 보여준다.,Atmospheric Moisture Ribbons + Altitude Layers + Vortex Wrap,현재 상층 수증기 통로와 기본 흐름,"고도별 분리, 폭우 수증기 공급원, 태풍·저기압 발달 연결, 지역 영향",위성 채널 감도 고도와 실제 수증기량의 차이를 안내,P1,M,NEXT,표준 3D 레이어·LOD·시간축
9,himawari,히마와리9 자동,동아시아·서태평양 낮/밤,위성·구름,가시광/적외 영상을 시간에 따라 평면 교체,서태평양 전체를 덮는 3D 구름막과 태양·야간 경계를 연속 재생하고 태풍 구조를 입체적으로 유지한다.,Pacific Cloud Volume + Spectral Auto Blend + Typhoon Structure,현재 서태평양 구름과 기본 루프,"천리안과 나란히 비교, 위성 간 정합, 태풍 구조·도달 분석",위성별 해상도·관측시각 차이를 화면에 표시,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
10,himaIR,히마와리 구름 꼭대기 온도,차가울수록 강한 대류,위성·구름,색상 팔레트로 차가운 구름을 강조,"차가운 핵은 높고 날카로운 대류탑, 모루구름은 넓은 덮개로 보여 강한 폭풍 구조가 한눈에 드러난다.",Convective Tower + Anvil Crown + Thermal Pulse,현재 구름 꼭대기 온도와 강한 대류 강조,"성장률, 낙뢰·강수 결합, 위험 세포 추적·알림",강한 대류 “가능성”이며 실제 강수·낙뢰와 교차검증,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
11,clouds,전지구 합성 구름,NOAA GMGSI · 지금,위성·구름,전지구 구름 합성 텍스처를 구체에 입힘,"모바일은 저·중·고 3개 구름 셸, 데스크톱은 반해상도 체적 구름을 적용한다. 관측과 5~7일 예보를 시간축에서 분리·연결한다.",Seamless Global Cloud Shells + Layered Volume + Time Morph,현재 전지구 구름과 기본 회전·최근 재생,"저·중·고층 분리, 5~7일 예보 전환, 항공·여행 경로 영향",관측과 예보 전환 시각·신뢰도를 명확히 표시,P0,H,NOW → ENHANCED,"구름층 데이터, 반해상도 패스, 시간 보간"
12,truecolor,수오미 NPP 실사,VIIRS 최신 완성일 낮 참고,위성·구름,최신 완성일 실사 모자이크를 평면 표면으로 표시,고해상도 지구 표면 위에서 산불 연기·황사·적설·해빙 변화를 얕은 3D 부피와 전후 비교로 드러낸다.,True-Color Earth Skin + Plume Lift + Change Reveal,"최신 완성일 실사, 관측일 명시, 기본 확대","전후 비교, 변화 감지, 사건별 타임랩스·리포트","현재 구름량과 혼동 금지, 관측일을 크게 표시",P1,M,NEXT,표준 3D 레이어·LOD·시간축
13,temp,기온,현재,대기·예보,지도 표면에 온도 색상 그라데이션을 입힘,기온이 지형의 열 재질과 완만한 높이장으로 변하고 도시 열섬은 숨 쉬는 열 봉우리로 나타난다.,Thermal Terrain Material + Heat Relief + Urban Pulse,"현재 기온 3D 필드, 지역 수치·공식 관측","평년 편차, 체감·열위험, 시간대 변화, 내 위치·일정 노출 분석",높이는 시각적 과장값을 명시하고 실제 고도와 구분,P0,M,NOW,표준 3D 레이어·LOD·시간축
14,wind,바람,현재,대기·예보,지표면 2D 입자선으로 풍향·풍속 표시,지표·저층·상층 바람이 서로 다른 고도의 빛 리본으로 흐르고 난류·수렴·회전이 입체적으로 보인다.,Multi-Altitude Flow Ribbons + Shear Layers + Vortex Motion,"현재 지표 바람, 기본 흐름과 풍속","고도별 바람, 돌풍·시어, 항공·등산·해양·촬영 일정 영향",입자 속도와 실제 풍속의 배율을 범례로 고정,P0,M,NOW,표준 3D 레이어·LOD·시간축
15,humidity,습도,현재,대기·예보,습도 값을 파란색 계열 평면으로 표시,지표 가까운 수분은 투명한 습기 막·이슬 광택·안개 가능성으로 나타나고 건조 지역은 표면이 거칠어진다.,Moisture Haze + Dew Surface + Dryness Contrast,현재 습도와 기본 쾌적도,"이슬점·결로·안개 가능성, 활동별 불쾌도와 개인 알림",습도와 안개·강수의 인과를 단정하지 않음,P1,M,NEXT,표준 3D 레이어·LOD·시간축
16,tpw,수증기 통로,총가강수량,대기·예보,총가강수량을 보라~붉은색 띠로 평면 표시,바다에서 대륙으로 이어지는 대기강과 수증기 통로가 하늘 위 3D 리본으로 솟아 폭우의 공급원을 보여준다.,Atmospheric River Ribbon + Moisture Corridor + Source-to-Rain Story,현재 수증기 통로와 기본 수치,"강수 공급원·유입시간, 과거 사례, 유역별 폭우 영향·알림",총가강수량은 실제 내릴 비의 양과 동일하지 않음을 안내,P0,M,NOW,표준 3D 레이어·LOD·시간축
17,tmax,내일 최고기온,예보,대기·예보,내일 최고기온 색상 지도를 정지 표시,내일 하루 동안 열 봉우리가 지역별로 성장하고 정점에 도달하는 과정을 시간축으로 보여준다.,Forecast Heat Peaks + Diurnal Growth + City Heat Island,내일 최고기온 3D 예보와 기본 시간대,"7일 변화, 평년 편차, 야외활동·여행·작업 위험 시간 추천",예보시각·모델·불확실성을 함께 표시,P1,M,NEXT,표준 3D 레이어·LOD·시간축
18,tmin,내일 최저기온,예보,대기·예보,내일 최저기온을 파란색 평면으로 표시,찬 공기가 계곡·분지에 가라앉는 냉기 웅덩이와 서리 가능 지역의 은은한 결정광으로 표현된다.,Cold Pool Relief + Basin Drainage + Frost Glow,내일 최저기온과 기본 냉기 분포,"서리·결빙·농업·도로 영향, 시간별 최저 도달·개인 알림",서리·결빙은 별도 조건 결합 시에만 표시,P1,M,NEXT,표준 3D 레이어·LOD·시간축
19,windfc,내일 바람,예보,대기·예보,내일 바람 벡터를 평면 입자로 재생,미래 바람 리본이 시간축을 따라 이동하며 강풍대·바람 전환선·고도별 변화를 3D로 보여준다.,Forecast Flow Ribbons + Direction Shift Front + Timeline,내일 지표 바람과 기본 재생,"7일·고도별 바람, 모델 비교, 이동경로·해양·항공 영향",미래 시점이 멀수록 불확실성 시각화 강화,P1,M,NEXT,표준 3D 레이어·LOD·시간축
20,aurora,오로라,현재,우주·재난,극지 오로라 타원을 평면 색상으로 표시,지구 자기장 주변에 빛의 커튼이 휘어지고 관측 가능 영역이 지표 위로 투영되는 공간 장면으로 전환한다.,Volumetric Aurora Curtains + Polar Oval + Ground Visibility,현재 오로라 활동과 기본 관측권,"시간대별 가시성, 구름·달빛 결합, 관심지역 촬영 알림·AR",실제 관측과 예측 가시성을 구분,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
21,news,검증 이벤트,뉴스·사건,우주·재난,지도 위 뉴스 핀과 말풍선을 나열,사건 위치에서 작은 펄스가 발생하고 관련 데이터·전후 변화·공식 출처가 20초 비주얼 스토리로 펼쳐진다.,Geo Pulse + Event Story Card + Context Layers,"검증된 주요 사건, 위치·출처·관련 뉴스","관심 주제·지역 추적, 사건 전후 데이터, 자동 요약·리포트",검증 상태·출처·보도시각을 항상 노출,P1,L,NEXT,경량 마커·네트워크·스토리 레이어
22,cyclone,태풍,실시간,우주·재난,진로선·예상 원·바람 색상 지도를 겹쳐 표시,"현재는 공식 경로, 구름 구조, 바람·강수 핵심 레이어를 결합한다. 폭풍해일·파도·유역 영향의 완전 결합은 후속 단계다.",Cyclone Vortex + Eyewall Volume + Wind/Rain/Ocean Coupling,현재 위치·공식 경로·경보·기본 3D 구조,"앙상블 경로군, 지역별 도달시간, 내 위치·일정 영향, 과거 태풍 비교","공식 경보·대피는 무료, 모델 시나리오는 예측으로 명확히 구분",P0,H,STAGED,"공식 태풍 경로, 구름/바람/강수, 이후 해양·수문"
23,quake,지진,실시간,우주·재난,규모별 원형 마커와 목록으로 표시,"현재 목표는 3D 지표, 실제 단층선, 지하 진원 깊이, 규모별 짧은 파동이다. 정밀 단층면·P/S파 공간 전파·응력장은 미래 비전으로 분리한다.",Subsurface Hypocenter + Fault Plane + Seismic Wave Pulse,"실시간 지진, 규모·깊이·공식 정보·대피 안내","과거 군집·여진 변화, 관심지역 도달·건물 주변 영향, 비교 리포트",실제 흔들림 예측과 시각적 파동 연출을 구분,P0,M,NOW → FUTURE,"지하 좌표 표시, 단층 데이터, 해구/해저 엔진 이후 심층 확장"
24,tsunami,쓰나미,경보,우주·재난,경보 해안선과 예상 범위를 색상 폴리곤으로 표시,"현재 목표는 공식 경보, 해안 영향 범위, 지역별 도달 예상시간 링, 대피 정보다. 정밀 해저 전파·수심별 굴절 시뮬레이션은 해구 엔진 이후다.",Ocean Wavefront Propagation + Arrival-Time Rings + Coast Impact,공식 경보·도달 예상·대피 정보 전체,"내 위치·가족·여행 일정 영향, 다중 시나리오 비교, 대피경로 개인화","공식 정보 우선, 시뮬레이션은 보조·불확실성 명시",P1,M,STAGED,"해저 DEM, 수심 LOD, 공식 경보/도달시간 데이터"
25,alerts,기상경보,호우·한파·폭염·대설·강풍,우주·재난,행정구역 경보 폴리곤을 색으로 덮음,경보 유형별로 지표가 열·냉기·눈·강풍·강수 신호로 반응하고 경계는 부드러운 펄스로 살아난다.,Hazard Skin + Type-Specific Pulse + Boundary Breathing,모든 공식 특보·안전 행동·대피 정보,"내 위치·일정·자산 영향, 복합경보 해석, 조건별 조기 알림",생명·안전 정보는 절대 유료 잠금 금지,P1,M,NEXT,표준 3D 레이어·LOD·시간축
26,regional,각국 기관 재해,지진·화산·경보,우주·재난,기관별 아이콘과 서로 다른 형식의 마커를 혼합,기관별 신뢰 배지와 동일한 Earthus 시각 문법으로 사건을 통합하고 국경을 넘는 영향은 흐름·파동으로 연결한다.,Agency Harmonization + Trust Badge + Cross-Border Signal,각국 공식 사건·기관·원문 링크·기본 번역,"기관 간 차이 비교, 관심국가 통합 관제, 자동 요약·영향 분석",기관 원문·업데이트시각·번역 여부 표시,P1,L,NEXT,경량 마커·네트워크·스토리 레이어
27,lightning,낙뢰,최근 30분 · 실측,우주·재난,최근 낙뢰를 점 또는 십자 마커로 표시,구름에서 지면으로 짧은 수직 섬광이 떨어지고 반복 빈도는 폭풍 세포의 맥동 밀도로 나타난다.,Vertical Lightning Pulse + Strike Density + Storm Cell Glow,최근 실측 낙뢰·기본 위험 범위,"이동 방향·도달 예상, 골프·등산·공사·행사 조건별 즉시 알림",관측 지연·검출 범위와 오차 표시,P1,M,NEXT,표준 3D 레이어·LOD·시간축
28,wildfire,산불,위성 관측,우주·재난,활성화점과 붉은 폴리곤·연기 색상 레이어 표시,현재는 공식 산불·위성 열점과 연기 이동을 표현한다. 확산 예측은 검증된 모델이 있을 때만 시나리오로 표시한다.,Fire Front + Smoke Volume + Wind-Driven Spread,공식 산불·위성 열점·대피·통제 정보,"확산 시나리오, 연기 도달·노출, 이동경로·관심지역 영향",확산은 시나리오이며 공식 통제 정보 우선,P0,H,STAGED,"공식 산불/열점, 바람, 연기 모델"
29,pm25,초미세먼지 PM2.5,현재,대기질·복사,농도 등급을 평면 열지도 색상으로 표시,미세 입자 안개가 도시·분지에 낮게 고이고 바람을 따라 이동해 사람이 들이마시는 공기층으로 보인다.,Fine Particle Volume + Basin Pooling + Exposure Flow,현재 농도·등급·기본 이동,"발생원·유입경로, 시간별 개인 노출량, 운동·환기 추천·알림",모델 격자와 실측소 값을 분리 표기,P0,H,NOW,고성능 렌더 경로와 모바일 축소 표현 필요
