id,name,domain,priority,module,status,module_evidence,intelligence_layer,v4_action,id_policy,greenfield_status,canonical_v5_3_action,implementation_gate
ALG-DAT-001,Bilinear grid resampling,Data Plane,P1,data/reprojection-resampling.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/reprojection-resampling.js,DATA_EVIDENCE_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-002,Canonical time-slice selection,Data Plane,P1,data/time-slice.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/time-slice.js,DATA_EVIDENCE_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-003,Bounded scalar quantization,Data Plane,P1,data/tile-compiler.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/tile-compiler.js,DATA_EVIDENCE_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-004,Revision fingerprint and classification,Data Plane,P1,data/revision-engine.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/revision-engine.js,INTELLIGENCE_CORE_OR_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-005,Adaptive frame prefetch,Data Plane,P1,data/adaptive-prefetch.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/adaptive-prefetch.js,DATA_EVIDENCE_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-OPS-001,Provider health state,Operations,P0,ops/provider-health.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/ops/provider-health.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-OPS-002,Exponential backoff,Operations,P1,ops/provider-health.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/ops/provider-health.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-OPS-003,Cost-to-value schedule,Operations,P1,ops/cost-observability.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/ops/cost-observability.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-OPS-004,Observation gap lens,Operations,P1,ops/observation-gap.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/ops/observation-gap.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-OPS-005,Fail-soft scene selection,Operations,P1,core/fail-soft-scene.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/core/fail-soft-scene.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-SEC-001,Secret query redaction,Security,P0,security/redaction.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/security/redaction.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
