id,name,category,priority,maturity,phase,existingBasis,action,dependencies,module,definitionOfDone
CLD-001,Satellite Product and Tile Broker,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,GK2A/Himawari/global imagery assets exist,Select source per product/tile/time/day-night/channel/rights,FND-005;WX-003,cloud/satellite-product-broker.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-002,Cloud Top Retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,IR imagery exists,IR/profile retrieval with parallax and vertical uncertainty,CLD-001;WX-002,cloud/cloud-state.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-003,Cloud Base Retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,No direct satellite base,RH/LCL/ceilometer estimate with explicit estimated state,CLD-001;WX-002,cloud/cloud-state.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-004,Multilayer Cloud Detection,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,No canonical multilayer state,Detect persistent cloud layers and ambiguity,CLD-002;CLD-003,cloud/cloud-state.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-005,Canonical Cloud State,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,Current service stores images/products,"Store compact layer state, retrieval metadata and provenance",CLD-001;CLD-004;FND-012,cloud/cloud-state.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-006,0-6h Cloud Nowcast,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,No 3D cloud nowcast,Blend observed advection/growth with NWP by horizon,CLD-005;WX-006,weather/nowcast.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-007,6h-10d Forecast Cloud Volume,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,NWP clouds exist only as inputs,Low/mid/high synthesis and ensemble-dominant long range,CLD-005;WX-004,cloud/cloud-forecast.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-008,Cloud Confidence and Uncertainty,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,No cloud-specific uncertainty,"Source agreement, retrieval quality and ensemble spread",CLD-005;HF-009,cloud/cloud-forecast.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-009,Adaptive Cloud Renderer,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,Current clouds are imagery,Mobile 3-shell; desktop bounded half-volume; 7d+ probability volume,CLD-008;VIS-006;FND-002,cloud/cloud-render-policy.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-010,Procedural Cloud Detail Synthesizer,Cloud,P2,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,"Generate high-frequency visual detail from compact state, not stored voxels",CLD-005;CLD-009,cloud/procedural-detail.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
FND-001,Cesium Globe Core Adapter,Foundation,P0,REUSE_AS_IS,Wave 0,prototype/js/viewer.js; Cesium 1.143,Freeze renderer contract and expose v2 scene adapter only,,adapters/v8-compat.js,Existing / globe remains unchanged and /v2 can mount without duplicate WebGL context
FND-002,Thermal and Render Quality Adapter,Foundation,P0,REUSE_AS_IS,Wave 0,prototype/js/power.js; render-quality.js,Reuse and bind v2 thermal profiles; rerun real-device gates,FND-001,core/resource-governor.js,"30-cycle toggle, context-loss and thermal tests pass"
FND-003,Truth and Evidence Contract Adapter,Foundation,P0,REUSE_AS_IS,Wave 0,prototype/js/v8/truth-contract.js,Map v8 data classes to v2 evidence kinds without semantic drift,,core/canonical-signal.js,"Official observation/forecast/warning, Earthus analysis and simulation remain distinct"
FND-004,Unified Time Adapter,Foundation,P0,REUSE_WITH_ADAPTER,Wave 0,prototype/js/v8/unified-time.js,Extend to LIVE/FORECAST/HISTORY/SCENARIO slices and availability manifests,FND-003,adapters/v8-compat.js,No current/forecast/history state is mixed and time transitions reuse objects
FND-005,Provider and Source Registry,Foundation,P0,HARDEN,Wave 0,v8 source-registry + handler constants,"Unify endpoint, schema, rights, freshness, health, quota and provenance",FND-003,paid/rights-gate.js,Every production provider has a versioned contract and status row
FND-006,Canonical Signal Contract,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,No shared provider observation model in 1.0,Create immutable canonical signal with geometry/time/evidence/fingerprint,FND-003;FND-005,core/canonical-signal.js,"Every derived value is traceable to source, time, processor and rights"
FND-007,Engine Runtime SDK,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,v8 runtime coordinator is partial,Provide common lifecycle and adapter contract for all v2 engines,FND-001;FND-002,core/engine-runtime.js,"Every engine can mount, update, measure, suspend and dispose deterministically"
FND-008,Resource Ownership Governor,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,Feature-specific abort/dispose paths exist,"Centralize requests, timers, GPU disposers and one-data-hero ownership",FND-007,core/resource-governor.js,"Layer OFF leaves no owned requests, timers or resources"
FND-009,Scene Orchestrator,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,v8 scene-state/runtime coordinator,"Coordinate 6 scene modes, focus, dimming, labels and resource transitions",FND-007;FND-008,core/scene-orchestrator.js,One primary dynamic engine and one static context engine at most
FND-010,Truth Budget Engine,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,New v0.2 proposal derived from no-fabricated-precision rule,"Cap visual fidelity from evidence, resolution, confidence, rights and thermal state",FND-006,core/truth-budget.js,Aggregate data can never silently become precision geometry
FND-011,Visual Manifest and Semantic Linter,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,v8 visual-layer-registry,Generate menus from one manifest and lint visual truth semantics,FND-003;FND-009;FND-010,visual/visual-manifest.js + visual/semantic-linter.js,"Red, forecast, simulation and label semantics are consistently enforced"
FND-012,Canonical Signal Lake Index,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,S3 object data plane; no shared observation DB,"Add versioned keys, revision manifest, watermarks and backfill windows",FND-006,storage/canonical-lake.js,Observation and forecast runs are reproducible without replacing S3 data plane
FND-013,Geospatial Reference Engine,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,WGS84 used per feature; no shared antimeridian engine,"Normalize WGS84, dateline geometries, bounds, centroids and spatial tests",FND-006,geo/geospatial-reference.js,Polygon/MultiPolygon/date-line cases produce stable focus geometry
FND-014,Country Focus Geometry and Dimming,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,Country reference assets and v8 scene state,"Calculate focus camera, clipping and context dimming without data duplication",FND-009;FND-013,geo/country-focus.js,Selected country is emphasized while only intersecting tiles are requested
FND-015,Terrain Source and LOD Broker,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,Existing Cesium terrain and reference builders,Select global/national/precision DEM and screen-space LOD by budget,FND-013;FND-014,geo/terrain-source-broker.js + geo/terrain-lod.js,No LOD pop and mobile tile budget is bounded
FND-016,Paid Intelligence Delivery Shell,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,Supabase plans/orders and v8 entitlement boundary,Expose NOW/WHY/NEXT/FOR ME/COMPARE/SCENARIO/EVIDENCE as allow/preview/deny,FND-003;FND-005,paid/entitlement.js + paid/intelligence-orchestrator.js,"Official safety is free and premium tabs are previewed, not hidden"
GEO-001,Terrain/Data Morph Engine,Geo/Terrain,P1,IMPLEMENTED_FOUNDATION,Wave 1,Existing terrain plus human relief,Morph actual terrain to bounded data relief without changing raw values,FND-015,geo/terrain-data-morph.js,Tooltip retains original value and morph reuses geometry
GEO-002,Bathymetry and Trench Level 1,Geo/Terrain,P1,IMPLEMENTED_FOUNDATION,Wave 2,GEBCO manifest and ocean layers,Separate sea surface and negative elevation with device gates,FND-015,geo/bathymetry-policy.js,"Level 1 sea-surface suppression, depth scale and memory budget pass"
GEO-003,Trench Camera Level 2,Geo/Terrain,P2,SPECIFIED_NEXT,Wave 3,No production underwater camera,Country/ocean to trench camera transition and depth labels,GEO-002,,"Camera, clipping and bathymetry LOD validated on mobile"
GEO-004,Underwater Camera Level 3,Geo/Terrain,P2,FUTURE_VISION,Future,Not available in 1.0,Limited underwater entry with fog/light/particles,GEO-003,,Only opens after Level 2 and device memory gates
HF-001,Spatiotemporal Fusion,Human Flow,P1,SPECIFIED_NEXT,Wave 2,Provider-specific mappings exist,"Align space, time, units, resolution and source mapping",FND-006;FND-013;FND-012,,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-002,Earthus Spatial Cell Registry,Human Flow,P1,SPECIFIED_NEXT,Wave 2,Seoul 121-place registry only,Canonical area/cell/POI mapping with geometry provenance,HF-001,,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-003,Density Algorithm,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Official population ranges exist,"Density and comparable crowd index, separate from renderer",HF-002,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-004,Trend Algorithm,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Timeline samples exist,EWMA + Theil-Sen + persistence,HF-003,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-005,Evidence-limited Flow Algorithm,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,No verified OD in aggregate data,Output direction only with OD/graph evidence,HF-002,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-006,Baseline Crowd Forecast v0,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Provider forecast exists; Earthus model output not released,Explainable baseline + bounded factors before calibration,HF-003;HF-004,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-007,Ground Truth Verification,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Forecast release control plane exists,Attach every forecast to actual observation and metrics,HF-006;FND-012,human-flow/forecast-lifecycle.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-008,Calibration Loop v1,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,No unified calibration loop,Forecast v0 -> shadow -> actual -> calibration -> canary,HF-007,human-flow/forecast-lifecycle.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-009,Confidence Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Freshness logic is feature-specific,"Combine quality, coverage, agreement and historical error",FND-006;HF-007,core/confidence.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-010,Anomaly Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,No common anomaly service,Robust seasonal deviation + persistence + correlated signals,HF-003;HF-004,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-011,Capacity Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Validated capacity sparse,Calculate only from validated capacity; otherwise UNKNOWN,HF-002,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-012,Risk Hard-Gate Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Official warning paths exist,Official emergency and closure override derived scores,HF-009,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-013,Spatial Graph Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,No common graph,"Typed nodes/edges, path and bottleneck foundation",HF-002,human-flow/spatial-graph.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-014,Spatial Digital Twin,Human Flow,P2,SPECIFIED_NEXT,Wave 4,No canonical gate/walkway/safe-zone twin,Bind verified facilities and status to graph,HF-013,,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-015,Domain Policy Registry,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Policies only in documents,Separate Tourism/Surf/Fishing/Hiking/etc. from common score,HF-012,core/domain-policy.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-016,Best Window Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Recommendation concepts and Watch exist,Score time windows with official hard gates and alternatives,HF-015;HF-006,core/domain-policy.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-017,Watch and Notification Decision,Human Flow,P1,HARDEN,Wave 2,Supabase watch/push foundations,"Cooldown, dedupe, confidence, consent, deep link",HF-016;FND-016,,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-018,Human Flow Scenario,Human Flow,P2,SPECIFIED_NEXT,Wave 4,No common scenario engine,Graph/rule what-if isolated from LIVE,HF-013;HF-014,,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HYD-001,Hydrography Network,Hydrology,P1,IMPLEMENTED_FOUNDATION,Wave 4,River layers are not a common graph,"Represent main stem, tributaries, basin and downstream path",VIS-005;FND-013,hydrology/hydrography-network.js,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
HYD-002,River Visual Network Adapter,Hydrology,P1,SPECIFIED_NEXT,Wave 4,Feature-specific line renderer,Bind hydrography hierarchy to DATA NETWORK,HYD-001;VIS-005,,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
HYD-003,Runoff Engine,Hydrology,P2,IMPLEMENTED_FOUNDATION,Wave 4,No runoff engine,SCS runoff foundation; requires calibrated basin parameters,WX-016;HYD-001,hydrology/runoff-routing.js,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
HYD-004,River Routing Engine,Hydrology,P2,IMPLEMENTED_FOUNDATION,Wave 4,No routing engine,Linear reservoir foundation; replace/validate per basin,HYD-003,hydrology/runoff-routing.js,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
HYD-005,Flood/Inundation Scenario,Hydrology,P2,IMPLEMENTED_FOUNDATION,Wave 4,Official flood warnings only,"Scenario gate requires DEM, hydrography and calibration",HYD-004;GEO-002,hydrology/runoff-routing.js,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
HYD-006,Tsunami Bathymetric Propagation,Hydrology,P2,FUTURE_VISION,Wave 4,Official alert/travel-time data exists,Numerical propagation only after bathymetry and validation,GEO-003,,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
OPS-001,Provider Health Engine,Operations/Governance,P0,IMPLEMENTED_FOUNDATION,Wave 1,wind/health.json and handler retries exist,Common health states and freshness SLO,FND-005,ops/provider-health.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-002,Circuit Breaker and Backoff,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,No common circuit breaker,Common breaker/backoff/last-good policy,OPS-001,ops/provider-health.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-003,Job Dependency DAG,Operations/Governance,P1,SPECIFIED_NEXT,Wave 3,60 EventBridge rules but no common DAG,Declare collector/fusion/forecast/archive dependencies,OPS-001,,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-004,Dead Letter Recovery,Operations/Governance,P1,SPECIFIED_NEXT,Wave 3,Lambda DLQ 0 in audit,DLQ/quarantine/replay for critical providers,OPS-003,,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-005,Freshness SLO Registry,Operations/Governance,P1,SPECIFIED_NEXT,Wave 3,Freshness feature-specific,Per dataset SLA and stale UX contract,OPS-001,,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-006,ModelOps Lifecycle,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,Forecast boundary exists,Draft/Shadow/Canary/Active/Rollback/Retired gates,HF-007,ops/modelops.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-007,Champion/Challenger Selector,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,Select by region/horizon skill plus calibration,OPS-006,ops/modelops.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-008,Country Data Passport Compiler,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,Compile data/license/visual/performance/QA readiness,FND-014;PAY-010,ops/readiness-compiler.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-009,Observation Gap Lens,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,coverage layer exists,Show what is observed vs model-dependent,FND-006,ops/observation-gap.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-010,Cost Observability,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,Cloud cost metrics unverified,Estimate storage/egress/request/compute cost,FND-012,ops/cost-observability.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-011,Cost-to-Value Scheduler,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,Downsample/defer low-value high-cost jobs while preserving safety,OPS-010,ops/cost-observability.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-012,Rollback Engine,Operations/Governance,P1,SPECIFIED_NEXT,Wave 3,Scoped deployment scripts exist,Versioned /v2 rollback for app/data/model,OPS-003;OPS-006,,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-013,Performance and Thermal Lab,Operations/Governance,P1,SPECIFIED_NEXT,Wave 3,Contract tests exist; real devices unknown,Automated 30-cycle/context-loss/30-minute playback evidence,FND-002;FND-008,,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-014,Regional Standards and Localization,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,Country-specific formatting is feature-specific,KR/JP/US/GB unit/time/AQI/warning terminology,FND-006,core/localization.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-015,Platform Delivery Capability Gate,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,Current product is PWA; no native projects found,PWA/wrapper/native/geofence/Vision Pro capability plan,FND-001,core/platform-capability.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-016,Source Governance and Paid Use,Operations/Governance,P1,HARDEN,Wave 3,v8 rights registry/private shadow exists,Enforce source rights at display/derivative/export/API boundaries,PAY-010;FND-005,,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-017,Fail-Soft Scene Profile Compiler,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,Downgrade unavailable or thermally unsafe scenes without fabricating replacement data,FND-008;FND-009;FND-010,core/fail-soft-scene.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-018,Trust Ledger Drill-down,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,Expose supporting and counter evidence for each derived output or narrative claim,FND-003;FND-006,core/trust-ledger.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
PAY-001,Entitlement Engine,Paid/Business,P0,IMPLEMENTED_FOUNDATION,Wave 1,Plans/orders and v8 boundary exist,Server-enforced allow/preview/deny with safety-free exception,FND-016,paid/entitlement.js,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-002,Intelligence Panel Orchestrator,Paid/Business,P0,IMPLEMENTED_FOUNDATION,Wave 1,No shared paid panel,Build NOW/WHY/NEXT/FOR ME/COMPARE/SCENARIO/EVIDENCE payload,PAY-001,paid/intelligence-orchestrator.js,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-003,Usage Metering,Paid/Business,P1,IMPLEMENTED_FOUNDATION,Wave 4,No common usage ledger,Meter restore/report/model/Scenario usage,PAY-001,paid/usage-metering.js,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-004,Quota Engine,Paid/Business,P1,IMPLEMENTED_FOUNDATION,Wave 4,No quota service,Enforce plan/feature/period limits,PAY-003,paid/usage-metering.js,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-005,Personal Context Engine,Paid/Business,P1,SPECIFIED_NEXT,Wave 4,Saved places/watch partial,"Resolve schedule, place, activity, route with minimal collection",PAY-002,,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-006,Comparison Engine,Paid/Business,P1,SPECIFIED_NEXT,Wave 4,No common normalizer,Compare location/time/model/baseline with resolution disclosure,FND-006;PAY-002,,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-007,Scenario Engine,Paid/Business,P2,SPECIFIED_NEXT,Wave 4,No common scenario runtime,Isolated what-if runs with quotas and audit log,PAY-003;HF-018,,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-008,Report and API Engine,Paid/Business,P2,HARDEN,Wave 4,Research report functions have deploy drift,Evidence-linked export and API quotas,PAY-003;FND-005,,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-009,Country Unlock Ledger,Paid/Business,P1,IMPLEMENTED_FOUNDATION,Wave 4,New product idea,"Supporter ledger, readiness and open gates",PAY-001;OPS-008,paid/country-unlock.js,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-010,Commercial Rights Gate,Paid/Business,P0,IMPLEMENTED_FOUNDATION,Wave 1,Rights are distributed per source,Block display/cache/derivative/export/resale by source rights,FND-005,paid/rights-gate.js,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-011,Subscription State Engine,Paid/Business,P1,SPECIFIED_NEXT,Wave 4,Checkout/payment functions exist but sales closed,Trial/grace/renewal/expiry/refund entitlement lifecycle,PAY-001,,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-012,Premium Cache Engine,Paid/Business,P1,SPECIFIED_NEXT,Wave 4,No shared premium result cache,Reuse identical WHY/NEXT/COMPARE calculations,PAY-002;FND-012,,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
PAY-013,Offline Trip Pack,Paid/Business,VNEXT,IMPLEMENTED_FOUNDATION,Wave 4,New v0.2 proposal,"Pre-cache official weather, POIs, safety and itinerary for selected trip",PAY-005;PAY-010,paid/offline-trip-pack.js,"Official safety stays free; paid value comes from analysis, comparison, personalization and action"
STO-001,Archive Packager,Storage/Archive,P1,SPECIFIED_NEXT,Wave 3,S3 archive patterns exist,Create Zarr/Parquet/JSON/tar.zst day-region package,FND-012;CLD-005,,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
STO-002,NAS Archive Agent,Storage/Archive,P1,SPECIFIED_NEXT,Wave 3,No NAS agent,"Outbound pull, resume, least privilege and capacity reporting",STO-001,,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
STO-003,Archive State Machine,Storage/Archive,P1,IMPLEMENTED_FOUNDATION,Wave 3,No common state machine,Safe HOT-to-COLD and restore transitions,STO-001,storage/archive-state-machine.js,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
STO-004,Archive Verification and Deletion Gate,Storage/Archive,P1,IMPLEMENTED_FOUNDATION,Wave 3,No NAS verification gate,Checksum/count/size/snapshot/grace/shadow proof,STO-003,storage/archive-verification.js,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
