id,name,domain,connection_mode,deps,existing_implementation(path@branch or NONE),classification(REUSE/MIGRATE/NEW/RETIRE/BLOCKED),notes
E01,"Source Ingestion & Raw Artifact Engine",FOUNDATION,EVIDENCE_PROVIDER,,packages/foundation/aetherus_foundation/ingestion.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 local runtime executes (dedupe/backoff/quarantine/redaction); second lineage backend/ingestion/* on same branch; CelesTrak works credential-free; Space-Track provider needs credentials; live network probe unverified"
E02,"Canonical Object Identity Engine",FOUNDATION,CONTEXT_ONLY,E01,packages/foundation/aetherus_foundation/identity.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; identity/alias/conflict quarantine runtime + tests/foundation/test_e02_identity.py; revalidate against v2.5.3 schema"
E03,"Evidence & Provenance Engine",FOUNDATION,EVIDENCE_PROVIDER,E01,packages/foundation/aetherus_foundation/provenance.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; hash lineage/source grade/license gates Intelligence promotion; contracts/schemas/ProvenanceBundle.schema.json included"
E04,"Universal Space Time Engine",FOUNDATION,CONTEXT_ONLY,,packages/foundation/aetherus_foundation/time_engine.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; UTC/replay/archived-vs-reconstructed context executes; naive-datetime rejection tested"
E05,"Coordinate & Reference Frame Engine",FOUNDATION,CONTEXT_ONLY,E04,packages/foundation/aetherus_foundation/frames.py@codex/aetherus-v2-v06-integration,MIGRATE,"Screening-grade TEME-ITRF transform executes; SOFA/IERS precision validation pending (BLOCKED_PRECISION_DEPENDENCIES) - library dependency not credential"
E06,"Digital State / Snapshot / Version Engine",FOUNDATION,CONTEXT_ONLY,E02;E03;E04,packages/foundation/aetherus_foundation/snapshots.py@codex/aetherus-v2-v06-integration,MIGRATE,"Append-only local snapshot runtime executes; PostgreSQL migration contract exists (db/migrations/*) but production DB execution unverified"
E07,"Space Knowledge Graph & Archive Engine",FOUNDATION,CONTEXT_ONLY,E02;E06,packages/foundation/aetherus_foundation/graph.py@codex/aetherus-v2-v06-integration,MIGRATE,"Typed graph/time traversal executes; large-scale archive index performance unproven; canonical 1.0 has no equivalent"
E08,"Solar System Ephemeris Engine",SPACE,DIRECT_SIGNAL,E03;E04;E05,packages/space/aetherus_space/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"RESEARCH_ONLY J2000 Kepler runtime; JPL Horizons adapter exists but kernel/precision validation open; canonical prototype/js/space/kepler.js+astronomy.js+solarscene.js are 1.0 UI-grade only"
E09,"Celestial Event Engine",SPACE,DIRECT_SIGNAL,E08,packages/space/aetherus_space/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; derived-vs-official separation and rule-version storage execute"
E10,"Solar / Space Weather Context Engine",SPACE,DIRECT_SIGNAL,E01;E03;E04,packages/space/aetherus_space/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Observed/forecast/stale/drag-context runtime executes; NOAA SWPC adapter live-unverified (network only, no credential needed)"
E11,"NEO / Small Body Tracking Engine",SPACE,DIRECT_SIGNAL,E03;E04;E05;E08,packages/space/aetherus_space/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Normalization/uncertainty/no-impact-claim guard executes; live NEO feed integration unverified"
E12,"Deep-Space Mission Tracking Engine",SPACE,DIRECT_SIGNAL,E03;E07;E08,packages/space/aetherus_space/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Official/modelled state separation executes; live mission provider integration unverified"
E13,"Mission Registry Engine",CONTROL,CONTEXT_ONLY,E01;E02;E03;E07,packages/control/aetherus_control/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Merge/source-precedence/payload/site runtime executes; Launch Library adapter live ingestion unverified"
E14,"Launch Schedule / Window Engine",CONTROL,DIRECT_SIGNAL,E13;E04,packages/control/aetherus_control/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; window revision/TBD-vs-confirmed/countdown gating executes"
E15,"Launch State Machine & Countdown Engine",CONTROL,DIRECT_SIGNAL,E13;E14,packages/control/aetherus_control/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; hold/resume/scrub transitions execute; canonical mission-control.js is 1.0 prototype only"
E16,"Telemetry Fusion Engine",CONTROL,DIRECT_SIGNAL,E03;E04;E13,packages/control/aetherus_control/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Ordering/unit/evidence-class/fallback runtime executes; real live telemetry provider does not exist here (registry treats live telemetry as optional input)"
E17,"Launch Trajectory / Flight Dynamics Adapter Engine",CONTROL,DIRECT_SIGNAL,E05;E16,packages/control/aetherus_control/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Trajectory/source/frame/stage-separation runtime executes; validated flight-dynamics model remains integration work"
E18,"Mission Timeline & Recorder Engine",CONTROL,EVIDENCE_PROVIDER,E10;E15;E16;E17,packages/control/aetherus_control/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; append-only timeline/revision/hash/replay record executes"
E19,"Mission Replay & Mission-to-Orbit Handover Engine",CONTROL,CONTEXT_ONLY,E02;E04;E07;E18,packages/control/aetherus_control/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Replay current-event prohibition + evidence-backed handover execute; canonical prototype/js/space/mission-replay.js is 1.0 UI prototype only"
E20,"Orbit Propagation & Frames Engine",ORBIT,DIRECT_SIGNAL,E02;E03;E04;E05,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Two-body screening + optional OMM-SGP4 adapter execute; sgp4 dependency/live OMM/OD validation open; second lineage backend/orbit/propagator.py with golden fixtures"
E21,"Conjunction Screening & Precise TCA Engine",ORBIT,DIRECT_SIGNAL,E20,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Screening + linear TCA execute; high-fidelity covariance TCA validation pending; second lineage backend/conjunction/{screen,tca}.py with 10k corpus test"
E22,"Collision Probability & Risk Provenance Engine",ORBIT,DIRECT_SIGNAL,E03;E21,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,BLOCKED,"Pc hard-null without covariance (correct behavior); operational Pc requires CDM/covariance source (Space-Track CDM access = missing credentialed provider); screening approximation exists in backend/conjunction/pc.py"
E23,"Risk Graph Engine",ORBIT,DIRECT_SIGNAL,E22;E06,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; metric-separated edges + deterministic snapshot hash execute"
E24,"Orbital Environment / Congestion Engine",ORBIT,DIRECT_SIGNAL,E20;E21;E27,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; LEO/MEO/GEO shell classification/coverage/partial-data state execute"
E25,"Debris Genealogy / Origin Engine",ORBIT,CONTEXT_ONLY,E07;E19,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; unknown-origin non-inference enforced"
E26,"Fragmentation Scenario Engine",ORBIT,INTELLIGENCE_TOOL,E20;E23,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Fixed-seed reproducible RESEARCH_ONLY scenario executes; calibrated physical breakup model (NASA SBM class) validation pending"
E27,"Re-entry Intelligence Engine",ORBIT,DIRECT_SIGNAL,E10;E20,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"TIP revision/no-fake-time logic executes; live TIP/decay provider verification open (Space-Track TIP needs credentials)"
E28,"Photometry / Rotation Intelligence Engine",ORBIT,DIRECT_SIGNAL,E03,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Periodicity/alias/uncertainty runtime executes as research signal; calibrated photometry pipeline pending; canonical photo-catalog.js/skyphotos.js are 1.0 prototypes"
E29,"Observation Planning Engine",ORBIT,INTELLIGENCE_TOOL,E20;E43,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Visibility/mount/info-gain planning executes; observatory-specific astrometry/mount models pending; canonical observation-planner.js is 1.0 prototype only"
E30,"Citizen Observation QA & Contribution Engine",ORBIT,EVIDENCE_PROVIDER,E01;E03;E29,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; QA/dedupe/license quarantine + accepted-only reevaluation execute; canonical citizen-science.js is 1.0 prototype only"
E31,"Intervention Benefit / Counterfactual Engine",ORBIT,INTELLIGENCE_TOOL,E23;E26,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Baseline-vs-counterfactual delta/beneficiary attribution/new-risk surfacing execute; second lineage backend/benefit/* with equivalence evidence artifacts/evidence/p5/*"
E32,"Affected Subgraph Engine",ORBIT,COMPUTE_HELPER,E23;E31,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; full-vs-selective equivalence + rollback tested (tests/integration/test_p5_full_vs_selective.py)"
E33,"PROTECT Reverse Query & Candidate OCM Comparison Engine",ORBIT,INTELLIGENCE_TOOL,E31;E32,packages/orbit/aetherus_orbit/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Reverse ranking/new-risk penalty/provenance execute advisory-only; no command path; tests/product/test_p6_protect_ocm_runtime.py"
E34,"Multi-Scale Space Scene Engine",VISUAL,CONSUMER_ONLY,E05;E06;E08;E20,prototype/v2-three/js/main.js@worktree(earthus-v2/real-living-earth-render UNTRACKED),REUSE,"Adopted v2 Three.js earth base (main/ui-shell/local-terrain/sim-ocean) exists only as untracked worktree files - commit required; orbital/solar scales absent; 823 services/web/visual-engine.js + packages/visual runtime usable as reference; 1.0 cosmic3d.js/solarscene.js are prototype-grade"
E35,"Semantic Zoom / Camera Focus Engine",VISUAL,CONSUMER_ONLY,E34,prototype/v2-three/js/ui-shell.js@worktree(earthus-v2/real-living-earth-render UNTRACKED),REUSE,"v2-three camera/shell UI is the adopted base (untracked - commit required); 1.0 cosmiczoom.js tracked as reference; focus/back/NOW semantics also modeled in 823 packages/visual runtime - align semantics onto v2-three"
E36,"Orbital Shell & LOD Engine",VISUAL,CONSUMER_ONLY,E24;E34,packages/visual/aetherus_visual/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Shell/LOD/render-cap semantics execute in 823 (render subset never mutates science subset); no shell renderer exists in canonical v2-three yet - rebuild renderer on v2-three base using 823 services/web/visual-engine.js as reference"
E37,"Visual Semantics Engine",VISUAL,CONSUMER_ONLY,E03;E40;E43,packages/visual/aetherus_visual/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Evidence-class/validation/uncertainty visual grammar executes; visual/visual_semantics.yaml token config on same branch; must be re-expressed in EARTHUS v2 design system (brand v5)"
E38,"Aetherus Intelligence Orchestrator",INTELLIGENCE,INTELLIGENCE_CORE,E01;E06,packages/intelligence/aetherus_intelligence/advanced.py@codex/aetherus-v2-v06-integration,MIGRATE,"Idempotent dependency-aware orchestration/partial recovery/replay execute; orchestrator.py + store.py on same branch; production job queue infra external"
E39,"Evidence Fusion & Cross Validation Intelligence",INTELLIGENCE,INTELLIGENCE_CORE,E03;E38,packages/intelligence/aetherus_intelligence/advanced.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; source independence/staleness/conflict preservation execute"
E40,"Signal Classification Intelligence",INTELLIGENCE,INTELLIGENCE_CORE,E03;E38,packages/intelligence/aetherus_intelligence/advanced.py@codex/aetherus-v2-v06-integration,MIGRATE,"Classification/promotion-protection/quarantine execute; signal_gate.py implements the Signal Gate; contracts/schemas/Signal.schema.json included"
E41,"Event Intelligence Engine",INTELLIGENCE,INTELLIGENCE_CORE,E39;E40,packages/intelligence/aetherus_intelligence/advanced.py@codex/aetherus-v2-v06-integration,MIGRATE,"Correlation/new-boundary/duplicate-suppression/insufficient-data-event execute; correlation.py + events/event_catalog.yaml + config/event_correlation_policy.yaml on same branch"
E42,"Revision Intelligence Engine",INTELLIGENCE,INTELLIGENCE_CORE,E41;E06,packages/intelligence/aetherus_intelligence/revision.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; append-only revision/delta/no-change suppression/correction lineage execute"
