id,menu_key,entrypoint,call_path,engine_kind,input_data,output,code_present,ui_connected,research_ready,validation_evidence,limitation,next_action
INTEL-FEED,feed,prototype/v2-three/js/ui-shell.js renderIntel,main.js IntelFeed.load/getFeed -> intel-feed.js ingestTC/ingestEQ,source retrieval and scene rendering,GDACS TC official alerts; USGS 4.5-day GeoJSON,event list and source-coordinate beacons,true,true,false,static call trace 2026-09-05; no new live provider acceptance,not a numerical forecast or causal analysis,preserve stable tab key and allow explicit project draft
INTEL-EVENT,feed detail,prototype/v2-three/js/event-room.js EventRoom,eventSimilarity/haversineMeters -> EventRoom.last,rule-based event association,official cyclone track; ECMWF ensemble; KMA buoys; warnings; tsunami bulletins,matched agency evidence and source-linked layers,true,true,false,source imports and matching code inspected,association score is not calibrated probability or causal evidence,preserve sources/times and label matching semantics
INTEL-PAST,feed past,prototype/v2-three/js/intel-feed.js,USGS archive query/official cyclone archive,archive lookup,USGS 300 km last 30 days M2.5+; cyclone source archive,nearby historical events,true,true,false,static fetch path inspected,archive lookup not outcome validation,freeze archive/version when reused in experiments
INTEL-MY,my,prototype/v2-three/js/main.js getMyHtml,refreshMyEarth -> sampleSkyAt/nearestOf,local summary and nearest station lookup,GK2A texture; KMA warning points; AirKorea; KMA AWS; user-selected GPS,local weather and nearest observation card,true,true,false,static filters/localStorage call trace,warning proximity is not polygon containment; texture signal is not calibrated cloud fraction,retain location opt-in and separate project storage
INTEL-NOW,now,prototype/v2-three/js/main.js getNowHtml,shell.getNow -> scene/layer cards/provider diagnostics,scene summary,active layer metadata; scene state; runtime resource counters,current context and technical diagnostic cards,true,true,false,static runtime and UI hook inspected,no experiment schema or immutable result,add independent research workspace without moving concurrently edited menu code
INTEL-WHY,why,prototype/v2-three/js/ui-shell.js whyHtml,activeLayers -> evidenceRow; feedSelected,source listing,active layer evidence kinds and selected event,source rows and selected-event link,true,true,false,static function trace,no executed causality or evidence graph backing a research result,show research model provenance only for actual run artifacts
INTEL-NEXT,next,prototype/v2-three/js/ui-shell.js nextHtml,activeLayers filter FORECAST/WARNING/MODEL -> shell-play5d,metadata filter and existing time playback,active provider forecast/warning/model layers,forecast-source list and time playback,true,true,false,static function trace,no new prediction engine or uncertainty synthesis,keep provider forecasts separate from archived replay
INTEL-WHATIF,scenario,prototype/v2-three/js/main.js scenarioParams/scenarioInfoHtml,TY_CAT and eye-distance mapping -> sim.open/setParams,visual wave construction,user category and distance plus fixed directions/period,Gerstner wave appearance,true,true,false,static parameter mapping and sim-ocean.js examined,14-wave renderer does not solve cyclone evolution or drift or inundation,identify visual demo and open actual experiment in independent workspace
OCEAN-POINT,ocean marine,prototype/v2-three/js/main.js marineSelect/seaCardHtml,Open-Meteo marine current plus GFS current -> simNowInfoHtml,provider model query and visualization,Open-Meteo Marine wave values and GFS 10m wind,point values and wave visualization,true,true,false,source URL confirms provider model despite initial OBSERVED text,model values were mislabeled observed in initial audit; not measured buoy data,correct evidence label by targeted owned patch only
OCEAN-CURRENT,ocean/current,prototype/v2-three/js/live-layers.js buildCurrent/metaCurrent,load layer current -> cur/cdir grid -> LineSegments,vector glyph rendering,single d.time with speed/direction at displayed 5 degree grid,current arrows and max speed,true,true,false,source d.cur/d.cdir and d.time inspected,no fixed u/v time series or native grid provenance; coarse display insufficient for drift input,reject display payload as research forcing
