id,name,category,priority,maturity,phase,existingBasis,action,dependencies,module,definitionOfDone
ANA-001,Privacy-Safe Product Telemetry Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,Wave 4,Analytics events exist,Canonical allowlisted event schema without precise location by default,SEC-003,analytics/telemetry.js,Telemetry excludes secrets and unnecessary precise location
ANA-002,Intelligence Funnel Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,Wave 4,Tourism KPI funnel specified,Compute user progression through intelligence actions,ANA-001,analytics/funnel.js,Only real event data used for KPIs
ANA-003,Alert Effectiveness Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,Wave 4,Notification logs planned/exist,Measure sent/open/action without inventing delivery state,HF-017;ANA-001,analytics/alert-effectiveness.js,Effectiveness separated from safety importance
ANA-004,Engine Cost Attribution Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,Wave 4,Cost observability exists at scheduler level,Attribute compute/storage/egress/request cost per engine,OPS-010,analytics/cost-attribution.js,Cost optimization cannot disable official safety collection
CLD-001,Satellite Product and Tile Broker,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,GK2A/Himawari/global imagery assets exist,Select source per product/tile/time/day-night/channel/rights,FND-005;WX-003,cloud/satellite-product-broker.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-002,Cloud Top Retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,IR imagery exists,IR/profile retrieval with parallax and vertical uncertainty,CLD-001;WX-002,cloud/cloud-state.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-003,Cloud Base Retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,No direct satellite base,RH/LCL/ceilometer estimate with explicit estimated state,CLD-001;WX-002,cloud/cloud-state.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-004,Multilayer Cloud Detection,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,No canonical multilayer state,Detect persistent cloud layers and ambiguity,CLD-002;CLD-003,cloud/cloud-state.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-005,Canonical Cloud State,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,Current service stores images/products,"Store compact layer state, retrieval metadata and provenance",CLD-001;CLD-004;FND-012,cloud/cloud-state.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-006,0-6h Cloud Nowcast,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,No 3D cloud nowcast,Blend observed advection/growth with NWP by horizon,CLD-005;WX-006,weather/nowcast.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
