id,name,domain,priority,status,module,formula,inputs,outputs,guardrails
ALG-CORE-001,Canonical signal fingerprint,Core,P0,IMPLEMENTED_FOUNDATION,core/canonical-signal.js,fingerprint = FNV1a64(stable canonical signal without signalId),canonical signal,stable fingerprint,No secret/raw payload inclusion
ALG-CORE-002,Cross-domain confidence,Core,P1,IMPLEMENTED_FOUNDATION,core/confidence.js,weighted quality components with mandatory-source caps,freshness;coverage;agreement;historical accuracy;mapping;stability,confidence + band + reason codes,Missing mandatory source caps result
ALG-CORE-003,Truth budget,Core,P0,IMPLEMENTED_FOUNDATION,core/truth-budget.js,"max fidelity = min(evidence, resolution, confidence, rights, device, thermal)",evidence;resolution;confidence;rights;device,allowed visual fidelity,No fine tower without actual grid
ALG-GEO-001,Antimeridian-safe bounds,Geo,P0,IMPLEMENTED_FOUNDATION,geo/geospatial-reference.js,unwrap longitudes and choose minimum span,GeoJSON geometry,bounds/centroid/date-line flag,Polygon and MultiPolygon only for containment
ALG-GEO-002,Country camera fit,Geo,P0,IMPLEMENTED_FOUNDATION,geo/country-focus.js,camera height proportional to geodesic diameter and viewport aspect,country geometry;viewport,camera + dimming + clipping,No global high-resolution download
ALG-GEO-003,Terrain source score,Geo,P0,IMPLEMENTED_FOUNDATION,geo/terrain-source-broker.js,resolution + freshness + continuity + datum + cost + regional priority,terrain sources;region/zoom,primary/fallback source,Rights/coverage/health are eligibility gates
ALG-GEO-004,Screen-space terrain LOD,Geo,P0,IMPLEMENTED_FOUNDATION,geo/terrain-lod.js,SSE = geometricError*viewportHeight/(2*distance*tan(FOV/2)),tile error;camera distance;viewport,selected LOD,Tile budget cap
ALG-GEO-005,Terrain/data morph,Geo,P1,IMPLEMENTED_FOUNDATION,geo/terrain-data-morph.js,"displayZ = lerp(terrainZ, terrainZ + normalizedData*reliefScale, mix)",terrain elevation;normalized data,display elevation,Raw values unchanged and capped
ALG-VIS-001,Bounded logarithmic tower mapping,Visual,P0,IMPLEMENTED_FOUNDATION,visual/tower.js,height = hMin + boundedLog(value/p95)*(hMax-hMin),value;distribution,height/opacity,Original value remains visible
ALG-VIS-002,Mass-preserving estimated distribution,Visual,P1,IMPLEMENTED_FOUNDATION,visual/tower.js,"cell_i = total*w_i/sum(w), integer remainder by largest fraction",aggregate total;approved weights,estimated cells,Sum must exactly equal provider total; estimated badge
ALG-VIS-003,Bilinear vector sampling,Visual,P1,IMPLEMENTED_FOUNDATION,visual/flow.js,bilinear interpolate U/V over four grid cells,vector grid;normalized coordinate,U/V vector,Missing vector returns null
