id,name,domain,priority,module,formula,inputs,outputs,guardrails,status
ALG-ANA-001,Alert effectiveness metrics,Analytics,P1,analytics/alert-effectiveness.js,opened/sent and acted/sent,notification events,open rate;action rate,Delivery/open/action states are not inferred,IMPLEMENTED_FOUNDATION
ALG-ANA-002,Engine cost attribution,Analytics,P1,analytics/cost-attribution.js,sum compute+storage+egress+request cost by engine,cost rows,engine cost map,Safety collection cannot be disabled solely by cost,IMPLEMENTED_FOUNDATION
ALG-CLD-001,Satellite product/tile source score,Cloud,P1,cloud/satellite-product-broker.js,regional preference + freshness + resolution + angle + time + channel + parallax + reliability + cost,satellite products/tile/time,primary/secondary/calibration,"Eligibility gates for rights, health, day/night and missing tiles",IMPLEMENTED_FOUNDATION
ALG-CLD-002,Cloud-top retrieval,Cloud,P1,cloud/cloud-state.js,argmin_z |T_profile(z)-BT_IR| + correction/uncertainty,IR brightness temp;NWP profile,top height + uncertainty,Parallax and limb flags,IMPLEMENTED_FOUNDATION
ALG-CLD-003,Cloud-base retrieval,Cloud,P1,cloud/cloud-state.js,"first persistent RH/cloud-fraction layer, blended with LCL or ceilometer",RH/cloud profile;LCL;ceilometer,base height + state,Estimated unless directly observed,IMPLEMENTED_FOUNDATION
ALG-CLD-004,Multilayer detection,Cloud,P1,cloud/cloud-state.js,persistent cloud-fraction intervals above threshold,vertical cloud profile,layers/multilayer flag,Thin/ambiguous layers retain flags,IMPLEMENTED_FOUNDATION
ALG-CLD-005,Cloud density profile,Cloud,P1,cloud/cloud-state.js,weighted cloud fraction + RH + optical depth + mask + condensate - uncertainty,layer variables,density 0..1,"Store state, not rendered voxel texture",IMPLEMENTED_FOUNDATION
ALG-CLD-006,Observation/model/ensemble horizon blend,Cloud,P1,cloud/cloud-forecast.js,alpha(h)*obs + beta(h)*deterministic + gamma(h)*ensemble,cloud states;horizon,0-10d state,7d+ becomes probabilistic and soft,IMPLEMENTED_FOUNDATION
ALG-CLD-007,Cloud uncertainty visual mapping,Cloud,P1,cloud/cloud-render-policy.js,opacity/detail decrease and blur increases with uncertainty/horizon,confidence;uncertainty;horizon,render policy,Long range must not look current,IMPLEMENTED_FOUNDATION
ALG-CLD-008,Procedural cloud detail budget,Cloud,P2,cloud/procedural-detail.js,detail = confidence*(1-uncertainty)*device*thermal*horizon scale,cloud state quality;device;thermal;horizon,deterministic visual-only detail plan,May not change meteorological coverage or meaning,IMPLEMENTED_FOUNDATION
ALG-CORE-001,Canonical signal fingerprint,Core,P0,core/canonical-signal.js,fingerprint = FNV1a64(stable canonical signal without signalId),canonical signal,stable fingerprint,No secret/raw payload inclusion,IMPLEMENTED_FOUNDATION
ALG-CORE-002,Cross-domain confidence,Core,P1,core/confidence.js,weighted quality components with mandatory-source caps,freshness;coverage;agreement;historical accuracy;mapping;stability,confidence + band + reason codes,Missing mandatory source caps result,IMPLEMENTED_FOUNDATION
ALG-CORE-003,Truth budget,Core,P0,core/truth-budget.js,"max fidelity = min(evidence, resolution, confidence, rights, device, thermal)",evidence;resolution;confidence;rights;device,allowed visual fidelity,No fine tower without actual grid,IMPLEMENTED_FOUNDATION
ALG-CORE-004,Trust ledger status,Core,P1,core/trust-ledger.js,support/counter evidence count and confidence produce SUPPORTED/CONTESTED/UNSUPPORTED,support evidence;counter evidence,trust ledger,"Every evidence item keeps source, time and provenance",IMPLEMENTED_FOUNDATION
ALG-CORE-005,Device-network-battery adaptive quality,Core,P0,core/device-network-governor.js,"quality = min(device memory, network/save-data, battery, thermal, accessibility budget)",device/network/battery/thermal/accessibility,FULL/BALANCED/LITE/STATIC policy,Reduce fidelity before fabricating or overfetching,IMPLEMENTED_FOUNDATION
ALG-CORE-006,Planet execution plan compiler,Core,P0,core/planet-intelligence-orchestrator.js,scene + manifest + truth budget + device profile -> one primary execution plan,scene;layer manifest;truth budget;device profile,engine/fetch/degrade/disposal plan,One dynamic data hero;Dispose previous primary,IMPLEMENTED_FOUNDATION
ALG-DAT-001,Bilinear grid resampling,Data Plane,P1,data/reprojection-resampling.js,bilinear interpolation in normalized grid coordinates,source grid;target size,resampled grid,Dataset requiring conservative mass preservation must use a dataset-specific conservative method,IMPLEMENTED_FOUNDATION
ALG-DAT-002,Canonical time-slice selection,Data Plane,P1,data/time-slice.js,nearest valid frame within max staleness window,records;target time;max age,canonical frame or null,Evidence modes cannot mix implicitly,IMPLEMENTED_FOUNDATION
ALG-DAT-003,Bounded scalar quantization,Data Plane,P1,data/tile-compiler.js,map finite min..max to Qbits with reserved no-data code,scalar values;bit depth,quantized values;min/max metadata,No-data remains explicit,IMPLEMENTED_FOUNDATION
ALG-DAT-004,Revision fingerprint and classification,Data Plane,P1,data/revision-engine.js,stable object fingerprint; same-time change => provider revision,previous;next,revision state;fingerprints,Provider revision is not a new observation time,IMPLEMENTED_FOUNDATION
ALG-DAT-005,Adaptive frame prefetch,Data Plane,P1,data/adaptive-prefetch.js,bounded forward/back window from playback/network/memory state,frame index;network;memory,prefetch frame ids,No unbounded background download,IMPLEMENTED_FOUNDATION
ALG-DAT-006,Ambiguity-aware spatial identity resolution,Data,P1,data/spatial-identity-resolution.js,external exact ID first; else normalized name/address + geodesic proximity score,provider place;Earthus candidates,MATCHED/AMBIGUOUS/UNMATCHED,Ambiguous entity never auto-merges,IMPLEMENTED_FOUNDATION
