id,name,category,priority,maturity,phase,module,module_evidence,intelligence_layer,v4_action,id_policy
ANA-001,Privacy-Safe Product Telemetry Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,Wave 4,analytics/telemetry.js,prototype/js/earthus2/v03/analytics/telemetry.js,OPS_GOVERNANCE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
ANA-002,Intelligence Funnel Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,Wave 4,analytics/funnel.js,prototype/js/earthus2/v03/analytics/funnel.js,OPS_GOVERNANCE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
ANA-003,Alert Effectiveness Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,Wave 4,analytics/alert-effectiveness.js,prototype/js/earthus2/v03/analytics/alert-effectiveness.js,OPS_GOVERNANCE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
ANA-004,Engine Cost Attribution Engine,Analytics,P1,IMPLEMENTED_FOUNDATION,Wave 4,analytics/cost-attribution.js,prototype/js/earthus2/v03/analytics/cost-attribution.js,OPS_GOVERNANCE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
CLD-001,Satellite Product and Tile Broker,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,cloud/satellite-product-broker.js,prototype/js/earthus2/v02/cloud/satellite-product-broker.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
CLD-002,Cloud Top Retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-state.js,prototype/js/earthus2/v02/cloud/cloud-state.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
CLD-003,Cloud Base Retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-state.js,prototype/js/earthus2/v02/cloud/cloud-state.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
CLD-004,Multilayer Cloud Detection,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-state.js,prototype/js/earthus2/v02/cloud/cloud-state.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
CLD-005,Canonical Cloud State,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-state.js,prototype/js/earthus2/v02/cloud/cloud-state.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
CLD-006,0-6h Cloud Nowcast,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,weather/nowcast.js,prototype/js/earthus2/v02/weather/nowcast.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
